timestamp,controller,SAT,Vflow_air,Vflow_outdoor_air,ZATsouth,ZATeast,ZATnorth,ZATwest,ZATcore,Toutdoor_air,VAVBoxsouth_damper,VAVBoxwest_damper,VAVBoxnorth_damper,VAVBoxeast_damper,VAVBoxcore_damper,rpmsignal,Tmix,mflow_water,SWT,RWT,hour,occupancy,Tout_1h,Tout_2h,Tout_3h,Tout_4h,action_economizer,action_chiller_valve,action_swt,fan_kwh,chiller_kwh,electric_kwh,zat_violation_c,sat_violation_c,reward,cop
2024-07-15 15:30:00,A2006,17.717790888392628,1.1809776368110794,1.1466554742412576,22.57547077583228,22.72680165846492,22.3931137146113,22.501612183832048,22.244983832422964,28.7,0.25,0.25,0.25,0.27285228632181746,0.25,0.4373991247448442,23.42716588839263,0.85,8.75,14.75,15.5,1.0,28.6,28.05,27.5,26.35,0.18,1.0,8.65,0.029601597802521695,0.7801226993865032,0.8097242971890249,0.835385037226656,0.0,-1.645109334415681,4.074999999999999
2024-07-15 16:00:00,A2006,17.818360075086815,1.2152009549270504,1.1894538846945335,22.756048062264142,22.873776859067966,22.56849960115785,22.6800639594092,22.45084144364753,28.9,0.2525576051902665,0.25,0.25,0.299397867719429,0.25,0.45007442775075934,23.606485075086816,0.85,8.65,14.650000000000002,16.0,1.0,28.3,27.8,27.2,25.5,0.18,1.0,8.55,0.03141032986437231,0.7936286300968026,0.8250389599611749,0.4212708161139247,0.0,-1.2463097760750996,4.058333333333334
2024-07-15 16:30:00,A2006,17.92111870778966,1.25148427489303,1.2348238904835165,22.900752185662036,23.023021709992733,22.763676376197097,22.865889265889006,22.627140540024012,28.6,0.2806609628832063,0.2504843916205655,0.25,0.3193572813021858,0.25,0.46351269440482584,23.78799370778966,0.85,8.55,14.55,16.5,1.0,28.05,27.5,26.35,24.7,0.18,1.0,8.7,0.03300317921746007,0.7734110787172014,0.8064142579346615,0.1570185917413145,0.0077936030350701894,-0.9712264527110461,4.083333333333333
2024-07-15 17:00:00,A2006,18.124848732753442,1.2817802193560692,1.249575491344748,23.022494702838173,23.128883026170307,22.89709025078883,23.023522855332622,22.788872565728543,28.3,0.2936189614968961,0.27321050997843926,0.25,0.3311772612767522,0.25,0.4747334145763219,23.873598732753443,0.85,8.7,14.7,17.0,1.0,27.8,27.2,25.5,23.9,0.18,1.0,8.85,0.03403674816581359,0.7534395827296437,0.7874763308954573,0.0480433766930517,0.0451671342227586,-0.8806868418112677,4.108333333333333
2024-07-15 17:30:00,A2006,18.300556597740787,1.3006971300142536,1.2526526297743523,23.109677796485073,23.242548169317164,23.018459199358674,23.132054789362023,22.903913246613897,28.05,0.3013674319010105,0.2899125661095422,0.25694945456042984,0.3337540116237029,0.25,0.4817396777830568,23.93118159774079,0.85,8.85,14.850000000000001,17.5,1.0,27.5,26.35,24.7,23.049999999999997,0.18,1.0,8.975,0.03481249403464731,0.7369814040651579,0.7717938980998051,0.0,0.09834773268805685,-0.870141630787862,4.129166666666666
2024-07-15 18:00:00,A2006,18.44350362498644,1.3145418514411515,1.25304594045342,23.225624648253508,23.300845906597115,23.119192477091318,23.204189345102545,23.03300757650632,27.8,0.3026076166751451,0.29750016570099536,0.2688132370880477,0.33768681976830356,0.25,0.48686735238561163,23.97569112498644,0.85,8.975,14.975000000000001,18.0,1.0,27.2,25.5,23.9,22.2,0.18,1.0,9.1,0.03488792619487696,0.7206884681583479,0.7555763943532248,0.0,0.1653349443816042,-0.920911338734829,4.1499999999999995
2024-07-15 18:30:00,A2006,18.575039032382332,1.315872611353825,1.2413613247359148,23.29851970220664,23.376748027687004,23.19608124965424,23.274937932582855,23.14802609920501,27.5,0.3087412032701065,0.29777430202453586,0.27642939081038287,0.3305036500470869,0.25,0.48736022642734256,24.00878903238233,0.85,9.1,15.100000000000001,18.5,1.0,26.35,24.7,23.049999999999997,22.2,0.18,1.0,9.25,0.03468032969870445,0.7013515825491873,0.7360319122478918,0.0,0.24967169400089081,-0.9857036062487826,4.175000000000001
2024-07-15 19:00:00,A2006,18.70664233385906,1.3122037157217024,1.2223997739269985,23.379999863116584,23.415042272458262,23.2847967435726,23.312930872131084,23.22985895144208,27.2,0.30563657514386394,0.29675835039960674,0.2785694210978094,0.32547299894501447,0.26190445709218074,0.4860013761932231,24.022267333859062,0.85,9.25,15.25,19.0,0.0,25.5,23.9,22.2,22.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 19:30:00,A2006,27.2,0.0,0.0,23.574399869276338,23.62586537019764,23.46548089011183,23.505848982885183,23.408515298627186,26.35,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,15.0,15.0,19.5,0.0,24.7,23.049999999999997,22.2,22.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 20:00:00,A2006,26.35,0.0,0.0,23.721801875158903,23.78895142853875,23.5997842500568,23.65183577865535,23.540882110188964,25.5,0.0,0.0,0.0,0.0,0.0,0.0,26.35,0.0,15.0,15.0,20.0,0.0,23.9,22.2,22.2,22.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 20:30:00,A2006,25.5,0.0,0.0,23.824320790776753,23.906448614254504,23.689793958804245,23.75300316861586,23.62904241523046,24.7,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,15.0,15.0,20.5,0.0,23.049999999999997,22.2,22.2,22.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 21:00:00,A2006,24.7,0.0,0.0,23.8862263551918,23.982658426613053,23.739753230658053,23.813618026028145,23.67723550654509,23.9,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,15.0,15.0,21.0,0.0,22.2,22.2,22.2,22.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 21:30:00,A2006,23.9,0.0,0.0,23.909346169208167,24.019438797415464,23.751464335278442,23.835505214856877,23.687259908750562,23.049999999999997,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,15.0,15.0,21.5,0.0,22.2,22.2,22.2,21.65,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 22:00:00,A2006,23.049999999999997,0.0,0.0,23.8931755915938,24.01631405153177,23.72439844019091,23.81815748018832,23.658583212856787,22.2,0.0,0.0,0.0,0.0,0.0,0.0,23.049999999999997,0.0,15.0,15.0,22.0,0.0,22.2,22.2,22.2,21.1,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 22:30:00,A2006,22.2,0.0,0.0,23.83948268997208,23.97507991921284,23.66030051038232,23.763340393579846,23.59294696827823,22.2,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,22.5,0.0,22.2,22.2,21.65,20.55,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 23:00:00,A2006,22.2,0.0,0.0,23.788205968923336,23.93570132284826,23.599086987415117,23.710990075868754,23.53026435470571,22.2,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,23.0,0.0,22.2,22.2,21.1,20.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-15 23:30:00,A2006,22.2,0.0,0.0,23.739236700321786,23.89809476332009,23.540628072981438,23.66099552245466,23.470402458743955,22.2,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,23.5,0.0,22.2,21.65,20.55,19.45,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 00:00:00,A2006,22.2,0.0,0.0,23.692471048807306,23.862180498970684,23.48479980969727,23.613250723944198,23.413234348100477,22.2,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,0.0,0.0,22.2,21.1,20.0,18.9,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 00:30:00,A2006,22.2,0.0,0.0,23.647809851610976,23.827882376517003,23.431483818260894,23.56765444136671,23.358638802435955,22.2,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,0.5,0.0,21.65,20.55,19.45,18.7,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 01:00:00,A2006,22.2,0.0,0.0,23.60515840828848,23.795127669573738,23.380567046439154,23.524109991505206,23.306500056326335,22.2,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,1.0,0.0,21.1,20.0,18.9,18.5,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 01:30:00,A2006,22.2,0.0,0.0,23.5644262799155,23.76384692444292,23.331941529349393,23.48252504188747,23.25670755379165,21.65,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,15.0,15.0,1.5,0.0,20.55,19.45,18.7,18.35,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 02:00:00,A2006,21.65,0.0,0.0,23.500777097319304,23.70922381284299,23.26075416052867,23.418061415002533,23.184405713871026,21.1,0.0,0.0,0.0,0.0,0.0,0.0,21.65,0.0,15.0,15.0,2.0,0.0,20.0,18.9,18.5,18.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 02:30:00,A2006,21.1,0.0,0.0,23.415242127939937,23.632308741265053,23.16802022330488,23.33174865132742,23.09060745674683,20.55,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,15.0,15.0,2.5,0.0,19.45,18.7,18.35,18.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 03:00:00,A2006,20.55,0.0,0.0,23.30880623218264,23.534104847908125,23.054709313256158,23.224569962017686,22.976280121193223,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55,0.0,15.0,15.0,3.0,0.0,18.9,18.5,18.2,17.8,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
