action,samples,training_samples,mae,mse,rmse,depth,leaves
swt,598,1438,0.0089602580190907,0.004985964487457309,0.07061136231129739,4,7
economizer,598,598,0.014008420192590378,0.000650208889299184,0.02549919389508586,3,6
chiller_valve,598,598,0.005733467299963465,0.00039375298614429034,0.019843210076605305,4,9
