controller,electric_kwh_raw,fan_kwh_raw,chiller_kwh_raw,zat_violation_c_raw,sat_violation_c_raw,cop_median_raw,cop_iqr_raw,electric_kwh,fan_kwh,chiller_kwh,zat_violation_c
A2006,348.02763193323517,17.888426343437434,330.1392055897977,2059.876754000421,156.55076372486516,4.324999999999999,0.4552083333333332,348.02763193323517,17.888426343437434,330.1392055897977,2059.876754000421
G36,265.70895303154083,19.323256419693656,246.38569661184715,1718.6757524634872,591.944180061756,4.324999999999999,0.4552083333333332,265.70895303154083,19.323256419693656,246.38569661184715,1718.6757524634872
DRL,157.0229762665241,24.647605469777027,132.37537079674706,1586.7281269714576,2681.286342389314,4.966666666666667,0.0,157.0229762665241,24.647605469777027,132.37537079674706,1586.7281269714576
RE,156.45138294828126,24.60764060887587,131.8437423394054,1580.4637650300028,2717.785877572359,4.965817770232031,0.0,156.45138294828126,24.60764060887587,131.8437423394054,1580.4637650300028
