controller,paper_electric_kwh,reported_electric_kwh,electric_error_pct,paper_zat_violation_c,reported_zat_violation_c,zat_error_pct
A2006,1179,348.02763193323517,-70.48111688437362,9.9,2059.876754000421,20706.83589899415
G36,1146,265.70895303154083,-76.81422748415874,14.8,1718.6757524634872,11512.67400313167
DRL,938,157.0229762665241,-83.25981063256673,0.6,1586.7281269714576,264354.6878285763
RE,967,156.45138294828126,-83.82095315943317,4.1,1580.4637650300028,38447.89670804886
